accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.3501984179019928,0.6812355518341064,1.4830148220062256,0.2059405893087387,0.6389716863632202,1.8253145217895508,9.999999747378752e-05
0.4131944477558136,0.7461937069892883,1.3421523571014404,0.2059405893087387,0.6678875684738159,1.9715709686279297,9.999999747378752e-05
0.4499008059501648,0.7712555527687073,1.2871052026748657,0.2673267424106598,0.6456124186515808,2.318673610687256,9.999999747378752e-05
0.4786706268787384,0.789335310459137,1.2446990013122559,0.2930693030357361,0.7080332040786743,2.002781629562378,9.999999747378752e-05
0.4861111044883728,0.7929065823554993,1.2383065223693848,0.28316831588745117,0.7201830744743347,1.8945817947387695,9.999999747378752e-05
0.5248016119003296,0.8129437565803528,1.1856255531311035,0.3049505054950714,0.7468520998954773,1.7172454595565796,9.999999747378752e-05
0.5188491940498352,0.8133352994918823,1.1810404062271118,0.4019801914691925,0.7804768085479736,1.4625126123428345,9.999999747378752e-05
0.550595223903656,0.8281877636909485,1.1386348009109497,0.4118811786174774,0.7989518046379089,1.36222243309021,9.999999747378752e-05
0.5500991940498352,0.8344513773918152,1.1196165084838867,0.46930691599845886,0.8040230870246887,1.2756400108337402,9.999999747378752e-05
0.55307537317276,0.8346490859985352,1.1199297904968262,0.49702969193458557,0.8104726076126099,1.1989294290542603,9.999999747378752e-05
