accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.2554563581943512,0.5607924461364746,2.104037284851074,0.4178217947483063,0.7371039390563965,1.3693116903305054,9.999999747378752e-05
0.3784722089767456,0.6832318305969238,1.6021981239318848,0.4811881184577942,0.7899547815322876,1.2532306909561157,9.999999747378752e-05
0.4404761791229248,0.7445059418678284,1.3891619443893433,0.5405940413475037,0.81480872631073,1.1815346479415894,9.999999747378752e-05
0.480654776096344,0.7753800749778748,1.290687084197998,0.5603960156440735,0.8339255452156067,1.1251991987228394,9.999999747378752e-05
0.4995039701461792,0.7929699420928955,1.2362971305847168,0.5722772479057312,0.8439615368843079,1.0933454036712646,9.999999747378752e-05
0.5208333134651184,0.808375358581543,1.1966489553451538,0.5841584205627441,0.8566963076591492,1.0559282302856445,9.999999747378752e-05
0.5391865372657776,0.824399471282959,1.1384533643722534,0.5980197787284851,0.8617739677429199,1.0357400178909302,9.999999747378752e-05
0.54067462682724,0.8271511197090149,1.134620189666748,0.6000000238418579,0.869251549243927,1.0086019039154053,9.999999747378752e-05
0.5694444179534912,0.8443563580513,1.0842349529266357,0.6158415675163269,0.875771701335907,0.9782949686050415,9.999999747378752e-05
0.588789701461792,0.8497787714004517,1.0668282508850098,0.6396039724349976,0.8837825059890747,0.9525989890098572,9.999999747378752e-05
