model,accuracy,mcc,kappa,Healthy_precision,Mosaic_precision,RedRot_precision,Rust_precision,Yellow_precision,Healthy_recall,Mosaic_recall,RedRot_recall,Rust_recall,Yellow_recall,Healthy_f1,Mosaic_f1,RedRot_f1,Rust_f1,Yellow_f1
CNN 2D Personalizada,0.45180483934946447,0.2925064339349458,0.3109031482864164,0.46702127659574466,0.8928571428571429,0.40893854748603353,0.0,0.4696048632218845,0.8409961685823755,0.05411255411255411,0.7065637065637066,0.0,0.6118811881188119,0.600547195622435,0.10204081632653061,0.5180467091295117,0.0,0.531384350816853
DenseNet121,0.6731455771519238,0.5879808871576001,0.5912635682800834,0.7342657342657343,0.6646586345381527,0.6382189239332097,0.718336483931947,0.5796344647519582,0.8045977011494253,0.7164502164502164,0.6640926640926641,0.7392996108949417,0.4396039603960396,0.7678244972577697,0.6895833333333333,0.6508987701040682,0.7286673058485139,0.5
ResNet50,0.5957953193177311,0.49779848196578796,0.4954630148458332,0.7014613778705637,0.48813056379821956,0.5897887323943662,0.6759656652360515,0.5598802395209581,0.6436781609195402,0.7121212121212122,0.6467181467181468,0.6128404669260701,0.3702970297029703,0.6713286713286714,0.579225352112676,0.6169429097605893,0.6428571428571429,0.44576877234803336
